SAGUAROID,COVER CLASS,YRFIRSTMEASURED,T&NGERMINATIONYEAR,YRDEAD,NURSE PLANT
3204,C2,1998,1986,-9999,Larrea tridentata
3205,C3,2000,1981,-9999,shrub
3206,C2,2001,1984,-9999,Acacia (Vachellia) constricta
3207,C3,2001,1984,2008,Psilostrophe Cooperi
3208,C1,2002,1987,2010,Parkinsonia microphylla
3209,C2,2002,1981,-9999,Larrea tridentata
3210,C1,2002,1985,-9999,Parkinsonia microphylla
3211,C3,2002,1986,2003,Zinnia acerosa
3212,C2,2003,1977,-9999,Larrea tridentata/Acacia (Vachellia) constricta
3213,C3,2003,1983,2011,Muhlenbergia Porteri
3214,C2,2004,1984,-9999,Larrea tridentata
3215,C3,2004,1979,2011,chrysothamnus like
3216,C2,2004,1989,2006,Acacia (Vachellia) constricta
3217,C3,2005,1985,2014,Muhlenbergia Porteri
3218,C1,2006,1991,-9999,Prosopis velutina
3219,C3,2006,1989,2009,grass
3220,C3,2007,1989,2011,"Opuntia versicolor, Opuntia leptocaulis, shrub"
3221,C2,2007,1989,2013,Larrea tridentata
3222,C2,2008,1992,-9999,"Acacia (Vachellia) constricta, Zinnia pumila"
4272,C1,1962,1953,1970,Parkinsonia microphylla
4274,C1,1970,1959,-9999,Parkinsonia microphylla
4275,C1,1970,1959,-9999,Parkinsonia microphylla
4276,C1,1983,1947,-9999,Parkinsonia microphylla
4277,C1,1980,1956,-9999,Parkinsonia microphylla
4278,C1,1975,1959,1986,Parkinsonia microphylla
4279,C1,1980,1958,-9999,Parkinsonia microphylla
4280,C1,1980,1953,-9999,Parkinsonia microphylla
4281,C1,1980,1962,1986,Parkinsonia microphylla
4282,C1,1980,1958,-9999,Parkinsonia microphylla
4283,C1,1980,1958,-9999,Parkinsonia microphylla
4284,C1,1979,1958,-9999,Parkinsonia microphylla
4285,C1,1980,1953,-9999,Parkinsonia microphylla
4286,C1,1980,1963,-9999,Parkinsonia microphylla
4287,C1,1980,1958,-9999,Parkinsonia microphylla
4288,C1,1977,1967,-9999,Parkinsonia microphylla
4289,C1,1977,1970,1983,Parkinsonia microphylla
4290,C1,1977,1963,-9999,Prosopis velutina
4291,C1,1977,1961,-9999,Prosopis velutina
4292,C1,1979,1962,-9999,Parkinsonia microphylla
4293,C1,1979,1962,1986,Parkinsonia microphylla
4294,C3,1979,1961,-9999,shrub
4295,C1,1979,1965,1986,Parkinsonia microphylla
4296,C1,1980,1962,-9999,Prosopis velutina
4297,C1,1982,1964,1986,Parkinsonia microphylla
4298,C1,1983,1968,-9999,Parkinsonia microphylla
4299,C1,1983,1969,-9999,Parkinsonia microphylla
4300,C1,1983,1971,-9999,Parkinsonia microphylla
4301,C1,1983,1964,-9999,Parkinsonia microphylla
4302,C1,1983,1971,-9999,Parkinsonia microphylla
4303,C1,1983,1968,-9999,Parkinsonia microphylla
4304,C1,1983,1966,-9999,Condalia warnockii
4305,C1,1983,1968,-9999,Parkinsonia microphylla
4306,C1,1983,1960,-9999,Parkinsonia microphylla
4307,C1,1984,1969,-9999,Parkinsonia microphylla
4308,C1,1985,1973,-9999,Parkinsonia microphylla
4309,C2,1985,1956,-9999,Lycium sp.
4310,C1,1986,1970,-9999,Parkinsonia microphylla
4311,C1,1986,1972,1988,Parkinsonia microphylla
4312,C2,1986,1971,-9999,Acacia (Vachellia) constricta
4313,C1,1986,1965,-9999,Parkinsonia microphylla
4314,C2,1987,1977,1997,Acacia (Vachellia) constricta
4315,C1,1987,1971,1989,Parkinsonia microphylla
4316,C3,1987,1971,2009,Baccharis sarothroides
4317,C1,1987,1978,1988,Parkinsonia microphylla
4318,C1,1987,1970,1990,Parkinsonia microphylla
4319,C1,1987,1972,-9999,Parkinsonia microphylla
4320,C1,1987,1970,-9999,Parkinsonia microphylla
4321,C1,1987,1974,1989,Parkinsonia microphylla
4322,C1,1987,1972,-9999,Prosopis velutina
4325,C1,1987,1970,1991,Parkinsonia microphylla
4326,C3,1987,1978,1988,Isocoma tenuisecta
4327,C3,1987,1979,1988,Isocoma tenuisecta
4328,C1,1988,1974,1992,Parkinsonia microphylla
4329,C1,1988,1975,1989,Condalia warnockii
4330,C2,1988,1957,-9999,Acacia (Vachellia) constricta
4331,C2,1988,1970,-9999,Celtis pallida
4332,C2,1988,1971,-9999,Acacia (Vachellia) constricta
4333,C1,1988,1975,1990,Parkinsonia microphylla
4334,C1,1988,1972,-9999,Parkinsonia microphylla
4335,C1,1989,1984,1990,Parkinsonia microphylla
4336,C1,1989,1969,-9999,Parkinsonia microphylla
4337,C1,1989,1981,1990,Parkinsonia microphylla
4338,C1,1983,1962,-9999,Parkinsonia microphylla
4339,C1,1987,1972,-9999,Parkinsonia microphylla
4340,C1,1990,1979,-9999,Parkinsonia microphylla
4341,C1,1990,1974,-9999,Parkinsonia microphylla
4342,C1,1990,1972,-9999,Prosopis velutina
4343,C2,1990,1967,-9999,Acacia (Vachellia) constricta
4344,C3,1991,1975,-9999,open
4345,C2,1991,1973,-9999,Acacia (Vachellia) constricta
4346,C1,1991,1980,-9999,Parkinsonia microphylla
4347,C1,1991,1982,2011,Parkinsonia microphylla
4348,C1,1991,1983,1993,Parkinsonia microphylla
4350,C1,1991,1973,-9999,Parkinsonia microphylla
4351,C3,1992,1976,2001,Zinnia acerosa
4352,C2,1993,1982,1994,Ephedra sp.
4353,C1,1993,1982,1994,Parkinsonia microphylla
4354,C1,1993,1981,-9999,Parkinsonia microphylla
4355,C3,1993,1981,2015,Zinnia acerosa
4356,C2,1993,1979,-9999,Acacia (Vachellia) constricta
4357,C3,1993,1984,1994,Isocoma tenuisecta
4358,C3,1993,1983,1997,Isocoma tenuisecta
4359,C1,1994,1983,2007,Parkinsonia microphylla
4360,C1,1994,1973,2000,Parkinsonia microphylla
4361,C2,1994,1979,-9999,Acacia (Senegalia) greggii
4362,C1,1994,1980,-9999,Parkinsonia microphylla
4363,C3,1994,1979,-9999,Psilostrophe Cooperi
4364,C1,1994,1982,-9999,Parkinsonia microphylla
4365,C1,1994,1979,-9999,Parkinsonia microphylla
4366,C2,1995,1979,-9999,Acacia (Vachellia) constricta
4367,C3,1995,1973,2000,composite
4368,C1,1996,1985,1999,Parkinsonia microphylla
4369,C2,1997,1982,2000,Larrea tridentata
4370,C1,1997,1986,2002,Prosopis velutina
4371,C1,1997,1983,2006,Prosopis velutina
4372,C2,1997,1978,-9999,Acacia (Vachellia) constricta
4373,C3,1997,1985,-9999,Psilostrophe Cooperi
4374,C1,1997,1978,1998,Parkinsonia microphylla
4375,C1,1997,1984,1998,Parkinsonia microphylla
4376,C1,1997,1985,-9999,Parkinsonia microphylla
4377,C1,1997,1981,-9999,Parkinsonia microphylla
4378,C2,1997,1980,-9999,Acacia (Vachellia) constricta
4379,C3,1997,1984,2004,grass
4380,C1,1998,1982,-9999,Parkinsonia microphylla
4381,C1,1998,1987,1999,Prosopis velutina
4382,C1,1998,1977,-9999,Parkinsonia microphylla/Acacia (Senegalia) greggii
4383,C1,1999,1977,-9999,Parkinsonia microphylla
4384,C3,1999,1984,2004,Zinnia acerosa
4385,C2,2000,1985,-9999,Acacia (Vachellia) constricta
4386,C1,2001,1984,-9999,Parkinsonia microphylla
4387,C1,2001,1990,-9999,Parkinsonia microphylla
4388,C2,2001,1988,2003,Acacia (Vachellia) constricta and O. engelmanii
4389,C2,2001,1984,-9999,Larrea tridentata
4390,C2,2001,1975,-9999,Acacia (Vachellia) constricta
4391,C1,2002,1982,-9999,Parkinsonia microphylla
4392,C2,2003,1993,-9999,Acacia (Senegalia) greggii
4393,C3,2003,1984,-9999,Psilostrophe Cooperi
4394,C3,2003,1984,-9999,Zinnia acerosa
4395,C1,2003,1987,-9999,Parkinsonia microphylla
4396,C2,2003,1982,-9999,Acacia (Vachellia) constricta
4397,C2,2004,1986,2007,Acacia (Senegalia) greggii
4398,C3,2004,1980,-9999,Opuntia versicolor
4399,C3,2004,1979,-9999,Opuntia fulgida
4400,C2,2005,1993,-9999,Acacia (Senegalia) greggii
4401,C2,2007,1986,-9999,"Acacia (Senegalia) greggii, Muhlenbergia Porteri"
4402,C2,2007,1984,-9999,"Acacia (Vachellia) constricta, Opuntia versicolor, Ferocactus wislizeni"
4404,C1,2008,1991,-9999,Condalia warnockii
4405,C1,2008,1986,-9999,Parkinsonia microphylla
4406,C1,2008,1991,-9999,Parkinsonia microphylla
5363,C1,1967,1949,2005,Parkinsonia microphylla
5365,C1,1970,1953,-9999,Parkinsonia microphylla
5366,C1,1970,1953,-9999,Parkinsonia microphylla
5367,C1,1971,1962,1992,Parkinsonia microphylla
5368,C1,1971,1957,-9999,Prosopis velutina
5369,C1,1971,1962,1986,Parkinsonia microphylla
5370,C1,1972,1962,-9999,Parkinsonia microphylla
5371,C1,1973,1959,-9999,Parkinsonia microphylla
5372,C1,1973,1964,1986,Parkinsonia microphylla
5373,C2,1973,1952,-9999,Ziziphus obtusifolia
5374,C1,1975,1956,-9999,Parkinsonia microphylla
5376,C1,1975,1963,-9999,Parkinsonia microphylla
5377,C1,1981,1954,-9999,Parkinsonia microphylla
5378,C1,1981,1956,-9999,Parkinsonia microphylla
5379,C1,1980,1961,1986,Parkinsonia microphylla
5380,C1,1980,1959,-9999,Parkinsonia microphylla
5381,C1,1981,1955,-9999,Parkinsonia microphylla
5382,C1,1981,1951,1985,Parkinsonia microphylla
5383,C1,1980,1963,1987,Prosopis velutina
5384,C1,1977,1968,-9999,Prosopis velutina
5385,C1,1977,1968,-9999,Prosopis velutina
5386,C1,1977,1963,-9999,Parkinsonia microphylla
5387,C1,1977,1968,-9999,Parkinsonia microphylla
5388,C1,1977,1963,1982,Parkinsonia microphylla
5389,C1,1977,1963,1985,Parkinsonia microphylla
5392,C1,1977,1961,1985,Parkinsonia microphylla
5393,C1,1977,1965,1985,Parkinsonia microphylla
5396,C1,1977,1961,1986,Parkinsonia microphylla
5397,C1,1977,1963,1984,Parkinsonia microphylla
5398,C1,1977,1963,1983,Parkinsonia microphylla
5399,C1,1978,1964,-9999,Parkinsonia microphylla
5400,C1,1978,1964,-9999,Prosopis velutina
5401,C2,1978,1968,-9999,Acacia (Vachellia) constricta
5402,C1,1978,1964,-9999,Parkinsonia microphylla
5403,C1,1980,1964,2002,Parkinsonia microphylla
5404,C1,1981,1965,-9999,Parkinsonia microphylla
5405,C1,1980,1968,-9999,Parkinsonia microphylla
5406,C1,1980,1966,-9999,Parkinsonia microphylla
5407,C1,1980,1962,-9999,Parkinsonia microphylla
5408,C1,1981,1969,-9999,Parkinsonia microphylla
5409,C1,1981,1972,1985,Parkinsonia microphylla
5410,C1,1981,1972,1988,Parkinsonia microphylla
5411,C2,1982,1962,1986,Larrea tridentata
5412,C1,1983,1964,-9999,Parkinsonia microphylla
5413,C1,1983,1973,-9999,Parkinsonia microphylla
5414,C1,1983,1970,-9999,Parkinsonia microphylla
5415,C1,1983,1969,-9999,Parkinsonia microphylla
5416,C1,1983,1962,1987,Parkinsonia microphylla
5417,C1,1983,1967,-9999,Parkinsonia microphylla
5418,C1,1983,1973,-9999,Parkinsonia microphylla
5419,C1,1983,1967,2011,Prosopis velutina
5420,C1,1983,1963,1985,Parkinsonia microphylla
5421,C1,1983,1960,-9999,Prosopis velutina
5422,C1,1983,1968,-9999,Parkinsonia microphylla
5423,C1,1983,1969,-9999,Parkinsonia microphylla
5424,C3,1983,1961,-9999,open
5425,C1,1983,1971,-9999,Parkinsonia microphylla
5426,C1,1983,1964,1985,Prosopis velutina
5427,C1,1983,1968,-9999,Parkinsonia microphylla
5428,C1,1983,1969,-9999,Parkinsonia microphylla
5429,C3,1984,1962,1985,unknown
5430,C1,1984,1972,-9999,Parkinsonia microphylla
5431,C2,1984,1966,-9999,Acacia (Vachellia) constricta
5432,C1,1984,1972,-9999,Prosopis velutina
5433,C1,1984,1963,1986,Prosopis velutina
5434,C1,1984,1967,1986,Parkinsonia microphylla
5435,C1,1984,1970,-9999,Parkinsonia microphylla
5437,C1,1984,1969,-9999,Parkinsonia microphylla
5438,C1,1984,1961,-9999,Parkinsonia microphylla
5439,C1,1985,1970,-9999,Parkinsonia microphylla
5440,C2,1985,1969,-9999,Larrea tridentata
5441,C1,1985,1972,-9999,Prosopis velutina
5442,C3,1985,1967,1992,open
5443,C1,1985,1967,-9999,Parkinsonia microphylla
5444,C2,1985,1967,1985,Acacia (Vachellia) constricta
5445,C1,1986,1982,-9999,Parkinsonia microphylla
5446,C1,1986,1979,-9999,Parkinsonia microphylla
5447,C1,1986,1979,-9999,Parkinsonia microphylla
5448,C1,1986,1979,-9999,Parkinsonia microphylla
5449,C1,1986,1971,-9999,Parkinsonia microphylla
5450,C1,1986,1971,1987,Parkinsonia microphylla
5451,C2,1987,1967,1995,Ephedra sp./Lycium sp.
5452,C2,1987,1968,-9999,Acacia (Vachellia) constricta
5453,C1,1987,1971,-9999,Parkinsonia microphylla
5454,C1,1987,1968,-9999,Parkinsonia microphylla
5455,C1,1987,1981,-9999,Parkinsonia microphylla
5456,C1,1987,1980,-9999,Parkinsonia microphylla
5457,C1,1987,1970,-9999,Parkinsonia microphylla
5458,C3,1987,1972,2016,Isocoma tenuisecta
5459,C3,1987,1973,-9999,Zinnia acerosa
5460,C1,1987,1967,-9999,Prosopis velutina
5461,C1,1987,1974,-9999,Prosopis velutina
5463,C1,1987,1968,-9999,Parkinsonia microphylla
5464,C1,1987,1977,-9999,Prosopis velutina
5465,C1,1987,1977,-9999,Prosopis velutina
5466,C1,1987,1976,-9999,Prosopis velutina
5467,C1,1987,1970,-9999,Parkinsonia microphylla
5468,C3,1987,1971,-9999,open
5470,C1,1988,1976,-9999,Parkinsonia microphylla
5471,C1,1988,1973,1993,Parkinsonia microphylla
5472,C1,1988,1970,-9999,Parkinsonia microphylla
5473,C1,1988,1976,-9999,Parkinsonia microphylla
5474,C1,1988,1962,-9999,Condalia warnockii
5475,C1,1988,1978,-9999,Prosopis velutina
5476,C3,1988,1969,1991,open
5477,C1,1987,1971,2007,Prosopis velutina
5478,C1,1988,1969,-9999,Condalia warnockii
5479,C3,1988,1976,-9999,open
5481,C1,1988,1977,-9999,Parkinsonia microphylla
5482,C1,1988,1977,-9999,Parkinsonia microphylla
5483,C1,1988,1979,-9999,Prosopis velutina
5484,C1,1988,1976,-9999,Prosopis velutina
5485,C2,1988,1975,-9999,Larrea tridentata
5486,C1,1988,1976,1989,Parkinsonia microphylla
5487,C1,1988,1969,-9999,Parkinsonia microphylla
5488,C2,1988,1962,-9999,Acacia (Senegalia) greggii
5489,C1,1988,1970,-9999,Prosopis velutina
5490,C3,1988,1980,1989,Carnegiea gigantea
5491,C2,1989,1977,-9999,Acacia (Vachellia) constricta
5492,C1,1989,1973,-9999,Parkinsonia microphylla
5493,C2,1989,1977,-9999,Larrea tridentata
5494,C1,1990,1969,-9999,Parkinsonia microphylla
5495,C1,1990,1975,-9999,Parkinsonia microphylla
5496,C1,1990,1981,-9999,Parkinsonia microphylla
5497,C3,1990,1972,2005,Isocoma tenuisecta
5498,C1,1990,1975,-9999,Parkinsonia microphylla
5499,C3,1990,1974,-9999,Isocoma tenuisecta
5500,C1,1990,1977,-9999,Parkinsonia microphylla
5501,C1,1990,1976,-9999,Parkinsonia microphylla
5502,C1,1991,1976,-9999,Parkinsonia microphylla
5503,C1,1991,1980,-9999,Parkinsonia microphylla
5504,C1,1991,1981,-9999,Parkinsonia microphylla
5505,C1,1991,1979,-9999,Prosopis velutina
5506,C1,1991,1980,-9999,Prosopis velutina
5507,C1,1991,1981,-9999,Parkinsonia microphylla
5508,C2,1991,1981,1997,Acacia (Senegalia) greggii
5509,C1,1991,1979,-9999,Parkinsonia microphylla/Prosopis velutina
5510,C1,1991,1977,-9999,Parkinsonia microphylla
5511,C2,1991,1977,-9999,Larrea tridentata
5512,C1,1991,1982,1995,Parkinsonia microphylla
5514,C1,1991,1980,1995,Parkinsonia microphylla
5515,C1,1991,1980,-9999,Parkinsonia microphylla
5516,C3,1991,1973,-9999,Isocoma tenuisecta
5517,C3,1992,1979,1993,grass
5518,C1,1992,1981,-9999,Parkinsonia microphylla
5519,C3,1992,1976,1999,open
5520,C3,1992,1981,1995,shrub
5521,C2,1992,1982,-9999,Larrea tridentata
5522,C1,1992,1983,-9999,Parkinsonia microphylla
5523,C3,1992,1984,1995,open
5524,C3,1992,1983,2008,Zinnia acerosa
5525,C3,1992,1981,1995,Zinnia acerosa
5526,C1,1992,1982,-9999,Parkinsonia microphylla
5527,C1,1992,1974,-9999,Parkinsonia microphylla
5528,C1,1992,1976,-9999,Prosopis velutina
5529,C3,1992,1976,1994,grass
5530,C3,1992,1976,1996,Zinnia acerosa
5531,C1,1992,1979,-9999,Prosopis velutina
5532,C3,1992,1976,-9999,open
5533,C1,1992,1980,-9999,Prosopis velutina
5534,C1,1992,1979,-9999,Parkinsonia microphylla
5535,C2,1993,1977,-9999,Celtis pallida
5536,C1,1993,1984,-9999,Parkinsonia microphylla
5537,C1,1993,1983,-9999,Parkinsonia microphylla
5538,C1,1993,1982,-9999,Parkinsonia microphylla
5541,C3,1993,1979,-9999,Isocoma tenuisecta
5542,C3,1993,1983,1994,open
5543,C1,1993,1977,-9999,Parkinsonia microphylla
5544,C1,1993,1976,-9999,Parkinsonia microphylla
5545,C1,1993,1980,-9999,Parkinsonia microphylla
5546,C1,1993,1979,-9999,Parkinsonia microphylla
5547,C3,1993,1982,-9999,Zinnia acerosa
5548,C3,1993,1980,1999,Zinnia acerosa
5549,C1,1993,1980,-9999,Parkinsonia microphylla
5550,C3,1994,1981,2001,Isocoma tenuisecta
5551,C3,1994,1981,-9999,Isocoma tenuisecta
5552,C1,1994,1984,1998,Parkinsonia microphylla
5553,C1,1994,1981,-9999,Prosopis velutina
5554,C3,1994,1983,1999,Isocoma tenuisecta
5555,C2,1994,1981,-9999,Acacia (Vachellia) constricta
5556,C3,1994,1982,2003,Isocoma tenuisecta
5557,C3,1994,1982,-9999,Isocoma tenuisecta
5558,C3,1994,1980,1999,Isocoma tenuisecta
5559,C3,1994,1980,-9999,Isocoma tenuisecta
5560,C3,1994,1983,2000,open
5561,C3,1994,1983,-9999,open
5562,C2,1994,1977,-9999,Acacia (Vachellia) constricta
5563,C1,1994,1979,-9999,Prosopis velutina
5564,C3,1994,1982,1994,Zinnia acerosa
5565,C2,1994,1983,-9999,Celtis pallida
5566,C2,1994,1980,-9999,Lycium sp.
5567,C2,1994,1981,-9999,Acacia (Vachellia) constricta
5568,C2,1994,1978,-9999,Acacia (Senegalia) greggii
5569,C3,1994,1984,-9999,Psilostrophe Cooperi
5570,C3,1994,1983,1994,Isocoma tenuisecta
5571,C3,1994,1982,1994,Isocoma tenuisecta
5572,C3,1994,1984,-9999,Zinnia acerosa
5573,C2,1994,1985,-9999,Acacia (Senegalia) greggii
5574,C1,1994,1980,-9999,Parkinsonia microphylla
5575,C1,1994,1981,-9999,Parkinsonia microphylla
5576,C1,1994,1983,1998,Parkinsonia microphylla
5577,C1,1994,1979,-9999,Parkinsonia microphylla
5578,C1,1994,1986,-9999,Parkinsonia microphylla
5579,C3,1994,1975,-9999,open
5580,C3,1994,1986,2002,Zinnia acerosa
5581,C1,1994,1984,-9999,Parkinsonia microphylla
5582,C3,1995,1984,-9999,Isocoma tenuisecta
5583,C3,1995,1981,2003,open
5584,C1,1995,1982,-9999,Parkinsonia microphylla
5585,C1,1995,1979,-9999,Parkinsonia microphylla
5586,C1,1995,1983,2001,Parkinsonia microphylla
5587,C2,1995,1974,-9999,Acacia (Senegalia) greggii
5588,C2,1995,1981,-9999,Acacia (Senegalia) greggii
5589,C3,1995,1981,2015,Isocoma tenuisecta
5590,C3,1995,1982,-9999,Isocoma tenuisecta
5591,C1,1995,1973,-9999,Parkinsonia microphylla
5592,C1,1995,1978,-9999,Parkinsonia microphylla
5593,C1,1995,1979,-9999,Parkinsonia microphylla
5594,C1,1995,1980,-9999,Parkinsonia microphylla
5595,C1,1995,1978,-9999,Parkinsonia microphylla
5596,C1,1995,1979,-9999,Parkinsonia microphylla
5597,C1,1995,1977,1999,Parkinsonia microphylla
5598,C3,1995,1983,2008,Psilostrophe Cooperi
5599,C3,1996,1984,1997,Isocoma tenuisecta
5600,C2,1996,1971,-9999,Acacia (Vachellia) constricta
5601,C3,1996,1975,-9999,Psilostrophe Cooperi
5602,C2,1996,1972,-9999,Acacia (Vachellia) constricta
5603,C3,1996,1982,2004,Isocoma tenuisecta
5604,C1,1996,1978,-9999,Prosopis velutina
5605,C1,1996,1983,-9999,Parkinsonia microphylla
5606,C1,1996,1975,-9999,Prosopis velutina
5607,C2,1996,1983,-9999,Acacia (Vachellia) constricta
5608,C2,1996,1984,-9999,Acacia (Vachellia) constricta
5609,C3,1997,1977,-9999,Zinnia acerosa
5610,C1,1997,1980,1999,Prosopis velutina
5612,C1,1997,1985,-9999,Parkinsonia microphylla
5613,C1,1997,1978,2006,Parkinsonia microphylla
5614,C1,1997,1979,-9999,Parkinsonia microphylla
5615,C1,1997,1986,-9999,Parkinsonia microphylla
5616,C3,1998,1980,2010,Psilostrophe Cooperi
5617,C3,1998,1976,-9999,Psilostrophe Cooperi
5618,C3,1998,1981,2009,Zinnia acerosa
5619,C1,1998,1977,-9999,Parkinsonia microphylla
5620,C1,1998,1976,-9999,Prosopis velutina
5621,C2,1998,1979,-9999,Lycium sp.
5622,C2,1999,1982,-9999,Larrea tridentata
5623,C2,1999,1984,2008,Larrea tridentata
5624,C2,1999,1985,-9999,Larrea tridentata
5625,C3,1999,1975,2007,open
5627,C3,2000,1990,2002,Isocoma tenuisecta
5628,C1,2000,1984,-9999,Parkinsonia microphylla
5629,C2,2000,1982,-9999,Ziziphus obtusifolia
5630,C1,2000,1983,-9999,Parkinsonia microphylla
5631,C1,2000,1980,-9999,Prosopis velutina
5632,C3,2001,1982,-9999,Zinnia acerosa
5634,C3,2001,1976,2006,open
5635,C3,2002,1985,2012,Zinnia acerosa
5637,C1,2002,1985,-9999,Parkinsonia microphylla
5638,C3,2003,1989,-9999,Opuntia versicolor
5639,C2,2003,1990,2008,Larrea tridentata
5640,C1,2003,1984,2007,Prosopis velutina
5641,C3,2003,1981,-9999,Zinnia acerosa
5642,C2,2003,1989,2005,Acacia (Vachellia) constricta
5643,C1,2003,1988,2005,Parkinsonia microphylla
5644,C3,2003,1987,2007,Zinnia acerosa
5645,C3,2004,1988,-9999,Opuntia versicolor
5646,C2,2004,1986,-9999,Larrea tridentata
5647,C3,2004,1984,-9999,Zinnia acerosa
5648,C1,2004,1988,-9999,Prosopis velutina
5649,C1,2004,1978,-9999,Condalia warnockii
5650,C1,2004,1989,-9999,Parkinsonia microphylla
5651,C1,2004,1988,-9999,Parkinsonia microphylla
5652,C1,2004,1987,-9999,Parkinsonia microphylla
5653,C1,2006,1988,2015,Parkinsonia microphylla
5654,C1,2007,1989,2012,Parkinsonia microphylla
5655,C1,2008,1993,-9999,Parkinsonia microphylla
