GEN,REP,BLOCK,ENV,site,Elevation_M,Soil_pH,Soil_Na,Avg_temp,Cum_precip,PROTEIN_g/kg,OIL_g/kg,Country_of_Origin,Soil_Type
BIMHA,1,5,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,319.3,236.8,Zimbabwe,Chromic Luvisols
BIMHA,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,370.9,219.3,Zimbabwe,Chromic Luvisols
KALEYA,1,4,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,396.3,213.9,Zambia,Chromic Luvisols
KALEYA,2,6,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,378.6,219.3,Zambia,Chromic Luvisols
LUKANGA,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,364.8,219.5,Zambia,Chromic Luvisols
LUKANGA,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,372.8,215.4,Zambia,Chromic Luvisols
MAKWACHA,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,372.0,191.5,Malawi,Chromic Luvisols
MAKWACHA,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,378.7,191.6,Malawi,Chromic Luvisols
MHOFU,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,338.3,229.1,Zimbabwe,Chromic Luvisols
MHOFU,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,377.1,217.7,Zimbabwe,Chromic Luvisols
NASOKO,1,5,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,392.2,182.5,Malawi,Chromic Luvisols
NASOKO,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,379.3,197.5,Malawi,Chromic Luvisols
SC_EXPT1,1,1,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,374.8,209.6,Zimbabwe,Chromic Luvisols
SC_EXPT1,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,367.4,208.0,Zimbabwe,Chromic Luvisols
SC_EXPT2,1,1,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,404.1,214.3,Zimbabwe,Chromic Luvisols
SC_EXPT2,2,7,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,412.2,208.3,Zimbabwe,Chromic Luvisols
SC_EXPT3,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,384.7,205.9,Zimbabwe,Chromic Luvisols
SC_EXPT3,2,7,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,382.8,209.5,Zimbabwe,Chromic Luvisols
SC_SAGA,1,2,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,324.3,232.6,Zimbabwe,Chromic Luvisols
SC_SAGA,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,,,Zimbabwe,Chromic Luvisols
SC_SIGNAL,1,2,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,310.5,213.3,Zimbabwe,Chromic Luvisols
SC_SIGNAL,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,368.5,201.3,Zimbabwe,Chromic Luvisols
SC_SL01,1,4,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,371.0,218.0,Zimbabwe,Chromic Luvisols
SC_SL01,2,7,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,377.8,215.5,Zimbabwe,Chromic Luvisols
SC_SPIKE,1,5,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,357.4,216.2,Zimbabwe,Chromic Luvisols
SC_SPIKE,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,369.3,207.3,Zimbabwe,Chromic Luvisols
TGX_1987-62F,1,1,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,,,Nigeria,Chromic Luvisols
TGX_1987-62F,2,6,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,387.8,192.9,Nigeria,Chromic Luvisols
TGX_2002-9FM,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,320.8,245.4,Zambia,Chromic Luvisols
TGX_2002-9FM,2,6,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,324.7,240.0,Zambia,Chromic Luvisols
TGX_2014-16FM,1,2,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,344.8,223.5,Zambia,Chromic Luvisols
TGX_2014-16FM,2,10,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,373.3,213.4,Zambia,Chromic Luvisols
TIKOLORE,1,4,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,392.5,184.7,Malawi,Chromic Luvisols
TIKOLORE,2,10,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,,,Malawi,Chromic Luvisols
BIMHA,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,391.0,207.1,Zimbabwe,Ferric Luvisols
BIMHA,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.5,202.9,Zimbabwe,Ferric Luvisols
KALEYA,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,427.4,211.4,Zambia,Ferric Luvisols
KALEYA,2,10,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,405.4,217.9,Zambia,Ferric Luvisols
LUKANGA,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Zambia,Ferric Luvisols
LUKANGA,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,367.6,217.8,Zambia,Ferric Luvisols
MAKWACHA,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,407.7,180.5,Malawi,Ferric Luvisols
MAKWACHA,2,10,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,392.0,195.6,Malawi,Ferric Luvisols
MHOFU,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.0,208.4,Zimbabwe,Ferric Luvisols
MHOFU,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,408.6,202.6,Zimbabwe,Ferric Luvisols
NASOKO,1,3,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,403.6,175.9,Malawi,Ferric Luvisols
NASOKO,2,8,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,402.3,190.2,Malawi,Ferric Luvisols
SC_EXPT1,1,4,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,392.8,205.7,Zimbabwe,Ferric Luvisols
SC_EXPT1,2,9,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,408.2,195.0,Zimbabwe,Ferric Luvisols
SC_EXPT2,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,399.8,209.8,Zimbabwe,Ferric Luvisols
SC_EXPT2,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,388.9,207.2,Zimbabwe,Ferric Luvisols
SC_EXPT3,1,3,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,396.1,210.1,Zimbabwe,Ferric Luvisols
SC_EXPT3,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,399.9,203.4,Zimbabwe,Ferric Luvisols
SC_SAGA,1,5,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Zimbabwe,Ferric Luvisols
SC_SAGA,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,368.9,217.0,Zimbabwe,Ferric Luvisols
SC_SIGNAL,1,4,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,389.3,194.1,Zimbabwe,Ferric Luvisols
SC_SIGNAL,2,8,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,382.9,197.1,Zimbabwe,Ferric Luvisols
SC_SL01,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.2,210.1,Zimbabwe,Ferric Luvisols
SC_SL01,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,394.3,208.9,Zimbabwe,Ferric Luvisols
SC_SPIKE,1,3,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Zimbabwe,Ferric Luvisols
SC_SPIKE,2,9,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,390.7,200.2,Zimbabwe,Ferric Luvisols
TGX_1987-62F,1,4,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,402.7,191.1,Nigeria,Ferric Luvisols
TGX_1987-62F,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Nigeria,Ferric Luvisols
TGX_2002-9FM,1,3,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,382.4,215.5,Zambia,Ferric Luvisols
TGX_2002-9FM,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,386.2,223.5,Zambia,Ferric Luvisols
TGX_2014-16FM,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,387.5,203.2,Zambia,Ferric Luvisols
TGX_2014-16FM,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,387.4,211.6,Zambia,Ferric Luvisols
TIKOLORE,1,5,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Malawi,Ferric Luvisols
TIKOLORE,2,8,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,405.7,192.8,Malawi,Ferric Luvisols
BIMHA,1,2,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,412.7,202.4,Zimbabwe,Ferric Luvisols
BIMHA,2,6,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,394.3,207.7,Zimbabwe,Ferric Luvisols
KALEYA,1,1,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,444.8,197.0,Zambia,Ferric Luvisols
KALEYA,2,10,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,414.4,210.0,Zambia,Ferric Luvisols
LUKANGA,1,5,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,410.4,207.8,Zambia,Ferric Luvisols
LUKANGA,2,10,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,388.8,214.0,Zambia,Ferric Luvisols
MAKWACHA,1,4,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,434.6,172.8,Malawi,Ferric Luvisols
MAKWACHA,2,8,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,430.6,174.3,Malawi,Ferric Luvisols
MHOFU,1,1,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,404.8,197.2,Zimbabwe,Ferric Luvisols
MHOFU,2,6,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,,,Zimbabwe,Ferric Luvisols
NASOKO,1,5,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,424.3,178.8,Malawi,Ferric Luvisols
NASOKO,2,8,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,439.1,177.9,Malawi,Ferric Luvisols
SC_EXPT1,1,1,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,445.6,190.8,Zimbabwe,Ferric Luvisols
SC_EXPT1,2,10,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,444.6,171.1,Zimbabwe,Ferric Luvisols
SC_EXPT2,1,2,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,431.6,200.5,Zimbabwe,Ferric Luvisols
SC_EXPT2,2,10,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,428.5,194.0,Zimbabwe,Ferric Luvisols
SC_EXPT3,1,5,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,427.6,186.2,Zimbabwe,Ferric Luvisols
SC_EXPT3,2,7,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,,,Zimbabwe,Ferric Luvisols
SC_SAGA,1,3,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,432.1,193.2,Zimbabwe,Ferric Luvisols
SC_SAGA,2,9,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,426.5,196.1,Zimbabwe,Ferric Luvisols
SC_SIGNAL,1,1,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,417.4,193.0,Zimbabwe,Ferric Luvisols
SC_SIGNAL,2,9,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,409.6,194.3,Zimbabwe,Ferric Luvisols
SC_SL01,1,5,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,419.7,202.6,Zimbabwe,Ferric Luvisols
SC_SL01,2,9,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,420.0,201.5,Zimbabwe,Ferric Luvisols
SC_SPIKE,1,2,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,422.6,192.6,Zimbabwe,Ferric Luvisols
SC_SPIKE,2,7,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,,,Zimbabwe,Ferric Luvisols
TGX_1987-62F,1,4,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,,,Nigeria,Ferric Luvisols
TGX_1987-62F,2,9,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,423.7,177.7,Nigeria,Ferric Luvisols
TGX_2002-9FM,1,1,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,432.7,190.0,Zambia,Ferric Luvisols
TGX_2002-9FM,2,8,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,423.6,200.7,Zambia,Ferric Luvisols
TGX_2014-16FM,1,3,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,411.3,194.6,Zambia,Ferric Luvisols
TGX_2014-16FM,2,8,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,430.0,186.1,Zambia,Ferric Luvisols
TIKOLORE,1,1,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,,,Malawi,Ferric Luvisols
TIKOLORE,2,7,ENV3,CBI-Site 2,1142,5.8,40,21.2,95.1,412.0,191.9,Malawi,Ferric Luvisols
BIMHA,1,3,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,411.3,192.8,Zimbabwe,Lithosols
BIMHA,2,6,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,414.7,196.3,Zimbabwe,Lithosols
KALEYA,1,1,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,436.6,190.9,Zambia,Lithosols
KALEYA,2,10,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,432.7,194.2,Zambia,Lithosols
LUKANGA,1,5,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,394.4,204.6,Zambia,Lithosols
LUKANGA,2,9,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,,,Zambia,Lithosols
MAKWACHA,1,1,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,429.6,173.5,Malawi,Lithosols
MAKWACHA,2,8,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,437.7,178.4,Malawi,Lithosols
MHOFU,1,2,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,400.9,200.0,Zimbabwe,Lithosols
MHOFU,2,8,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,410.2,194.4,Zimbabwe,Lithosols
NASOKO,1,5,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,433.0,174.2,Malawi,Lithosols
NASOKO,2,6,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,426.1,176.5,Malawi,Lithosols
SC_EXPT1,1,3,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,441.4,179.8,Zimbabwe,Lithosols
SC_EXPT1,2,10,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,437.3,184.5,Zimbabwe,Lithosols
SC_EXPT2,1,5,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,419.1,198.2,Zimbabwe,Lithosols
SC_EXPT2,2,7,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,408.3,200.3,Zimbabwe,Lithosols
SC_EXPT3,1,5,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,416.7,192.6,Zimbabwe,Lithosols
SC_EXPT3,2,10,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,408.4,201.2,Zimbabwe,Lithosols
SC_SAGA,1,3,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,398.8,205.2,Zimbabwe,Lithosols
SC_SAGA,2,7,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,417.0,196.1,Zimbabwe,Lithosols
SC_SIGNAL,1,2,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,400.1,187.0,Zimbabwe,Lithosols
SC_SIGNAL,2,8,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,395.6,183.7,Zimbabwe,Lithosols
SC_SL01,1,4,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,414.7,199.1,Zimbabwe,Lithosols
SC_SL01,2,10,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,402.4,203.3,Zimbabwe,Lithosols
SC_SPIKE,1,4,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,413.9,184.6,Zimbabwe,Lithosols
SC_SPIKE,2,8,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,402.3,188.0,Zimbabwe,Lithosols
TGX_1987-62F,1,4,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,,,Nigeria,Lithosols
TGX_1987-62F,2,7,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,435.2,180.0,Nigeria,Lithosols
TGX_2002-9FM,1,1,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,415.0,204.3,Zambia,Lithosols
TGX_2002-9FM,2,9,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,416.9,201.2,Zambia,Lithosols
TGX_2014-16FM,1,2,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,423.9,196.5,Zambia,Lithosols
TGX_2014-16FM,2,10,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,418.0,194.3,Zambia,Lithosols
TIKOLORE,1,4,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,430.6,180.2,Malawi,Lithosols
TIKOLORE,2,6,ENV4,SEEDCO-Site 6,1200,5.9,30,21.2,326.4,415.9,183.0,Malawi,Lithosols
BIMHA,1,3,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,424.6,187.3,Zimbabwe,Ferric Luvisols
BIMHA,2,6,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,413.7,188.9,Zimbabwe,Ferric Luvisols
KALEYA,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,417.9,197.2,Zambia,Ferric Luvisols
KALEYA,2,6,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,412.5,205.7,Zambia,Ferric Luvisols
LUKANGA,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,397.9,200.6,Zambia,Ferric Luvisols
LUKANGA,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,389.9,210.4,Zambia,Ferric Luvisols
MAKWACHA,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,424.1,165.0,Malawi,Ferric Luvisols
MAKWACHA,2,9,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,,,Malawi,Ferric Luvisols
MHOFU,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,389.8,201.2,Zimbabwe,Ferric Luvisols
MHOFU,2,7,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,394.5,199.6,Zimbabwe,Ferric Luvisols
NASOKO,1,5,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,420.2,175.4,Malawi,Ferric Luvisols
NASOKO,2,8,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,437.0,164.8,Malawi,Ferric Luvisols
SC_EXPT1,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,433.2,184.7,Zimbabwe,Ferric Luvisols
SC_EXPT1,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,440.0,175.0,Zimbabwe,Ferric Luvisols
SC_EXPT2,1,4,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,416.3,201.7,Zimbabwe,Ferric Luvisols
SC_EXPT2,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,404.2,213.0,Zimbabwe,Ferric Luvisols
SC_EXPT3,1,2,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,411.2,198.7,Zimbabwe,Ferric Luvisols
SC_EXPT3,2,10,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,,,Zimbabwe,Ferric Luvisols
SC_SAGA,1,1,ENV5,SEEDCO-Site 5,1260,6.2,26,20.8,325.8,411.7,193.2,Zimbabwe,Ferric Luvisols
